text,category,department,category_code,org_code,urgency,urgency_score
housing scheme allotment pending for 8 months,Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Medium,27
scholarship amount not received by my child for 4 months,School Education,School Education,398,DOSEL,High,51
no network coverage in my area for 7 days despite repeated complaints senior citizen with no other support,Telecommunications,Telecommunications,1,DOTEL,Medium,37
"illegal construction next door, complained repeatedly no action my elderly parent is suffering",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Medium,42
request for information about property tax payment this is urgent,Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Low,10
"loan emi wrongly deducted twice, bank not responding my elderly parent is suffering",Banking,Banking,251,DEABD,Medium,29
request for information about train schedule changes please help immediately,Railway,Railway,2565,MORLY,Low,10
"no oxygen supply at government hospital, patient dying, urgent action needed immediately",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,49
"speed post delivery delayed by 20 days, urgent documents inside i have complained repeatedly and it is still unresolved",Posts,Posts,61,DPOST,Medium,44
"wrong tax demand raised, no response to my grievance i have complained repeatedly and it is still unresolved",Income Tax,Income Tax,4414,CBODT,Medium,27
request to update my kyc details in the account i have complained repeatedly and it is still unresolved,Banking,Banking,251,DEABD,Low,14
"purchased defective product, seller refusing refund for 8 months",Consumer Affairs,Consumer Affairs,5409,DOCAF,Low,15
request for information about filing a consumer complaint there is a medical emergency,Consumer Affairs,Consumer Affairs,5409,DOCAF,Low,19
"my elderly widowed mother's pension stopped for 8 months, senior citizen with no income, medical bills unpaid, urgent",Pension,Pension,6281,DEAPR,Critical,75
passport verification pending with police for 8 months,Home Affairs,Home Affairs,4742,MINHA,Medium,27
"employer not paying wages for 7 months, family suffering please help immediately",Labour and Employment,Labour and Employment,2173,MOLBR,Low,23
mgnrega wages not paid for 9 months to labourers in our village senior citizen with no other support,Rural Development,Rural Development,4976,DORLD,Medium,40
"toll charged despite pass, request refund senior citizen with no other support",Road Transport and Highways,Road Transport and Highways,616,MORTH,Low,24
"medicines out of stock at government hospital, patient suffering",Health and Family Welfare,Health and Family Welfare,656,DHLTH,Medium,25
my monthly income scheme interest not credited since 7 months there is a medical emergency,Posts,Posts,61,DPOST,Medium,32
wrongly charged extra amount on my mobile bill this month there is a medical emergency,Telecommunications,Telecommunications,1,DOTEL,Medium,25
"medical emergency, no doctor or ambulance available, elderly patient in danger, please help immediately",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,56
housing scheme allotment pending for 4 months,Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Medium,27
"child harassment reported at centre, immediate action needed i have complained repeatedly and it is still unresolved",Women and Child Development,Women and Child Development,5410,DOWCD,High,57
"workplace safety violations, unsafe conditions, workers in danger this is urgent",Labour and Employment,Labour and Employment,2173,MOLBR,High,45
"street lights not working on the highway, danger at night",Road Transport and Highways,Road Transport and Highways,616,MORTH,Low,22
housing scheme allotment pending for 3 months my elderly parent is suffering,Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Medium,43
"loan emi wrongly deducted twice, bank not responding",Banking,Banking,251,DEABD,Low,13
"no oxygen supply at government hospital, patient dying, urgent action needed immediately",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,49
"medical emergency, no doctor or ambulance available, elderly patient in danger, please help immediately",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,56
"overcharged above mrp, shopkeeper cheated me",Consumer Affairs,Consumer Affairs,5409,DOCAF,Low,17
suggestion to open more counters at the local post office situation is unsafe and dangerous,Posts,Posts,61,DPOST,Low,19
tds credit not reflecting in my account no response despite repeated complaints,Income Tax,Income Tax,4414,CBODT,Low,18
"no doctor available at the primary health centre for 10 days, medical emergency there is a medical emergency",Health and Family Welfare,Health and Family Welfare,656,DHLTH,Medium,29
"workplace safety violations, unsafe conditions, workers in danger situation is unsafe and dangerous",Labour and Employment,Labour and Employment,2173,MOLBR,Medium,37
"fraud transaction on my account, money stolen, please help urgently",Banking,Banking,251,DEABD,High,50
request for transfer certificate pending since 1 months,School Education,School Education,398,DOSEL,Low,18
"no water in the coach during long journey, elderly passengers suffering",Railway,Railway,2565,MORLY,Medium,32
"workplace accident, unsafe conditions caused injury, worker in danger, employer ignoring repeatedly, urgent",Labour and Employment,Labour and Employment,2173,MOLBR,High,46
"pregnant woman denied urgent maternity care, life in danger, no response",Women and Child Development,Women and Child Development,5410,DOWCD,High,68
"no doctor available at the primary health centre for 20 days, medical emergency please help immediately",Health and Family Welfare,Health and Family Welfare,656,DHLTH,Medium,37
"family pension denied after my husband's death, i am a widow i have complained repeatedly and it is still unresolved",Pension,Pension,6281,DEAPR,High,60
"hospital demanded bribe to admit my critically ill child, this is corruption and unsafe",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,68
"online order not delivered, money not refunded",Consumer Affairs,Consumer Affairs,5409,DOCAF,Low,8
request for status update on my pension revision application no response despite repeated complaints,Pension,Pension,6281,DEAPR,Low,12
"medical emergency, no doctor or ambulance available, elderly patient in danger, please help immediately",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,56
atm did not dispense cash but my account was debited my elderly parent is suffering,Banking,Banking,251,DEABD,Medium,32
"ppo number not updated, pension pending, repeatedly following up",Pension,Pension,6281,DEAPR,Low,12
"water scheme funds misused, corruption suspected",Rural Development,Rural Development,4976,DORLD,Medium,32
request for status of my police clearance certificate no response despite repeated complaints,Home Affairs,Home Affairs,4742,MINHA,Low,9
wrongly charged extra amount on my mobile bill this month this is urgent,Telecommunications,Telecommunications,1,DOTEL,Low,16
"my elderly widowed mother's pension stopped for 8 months, senior citizen with no income, medical bills unpaid, urgent",Pension,Pension,6281,DEAPR,Critical,75
request for transfer certificate pending since 6 months my elderly parent is suffering,School Education,School Education,398,DOSEL,Medium,32
"fraud transaction on my account, money stolen, please help urgently this is urgent",Banking,Banking,251,DEABD,High,50
"workplace safety violations, unsafe conditions, workers in danger",Labour and Employment,Labour and Employment,2173,MOLBR,Medium,37
"domestic violence emergency, my life is in danger, immediate protection needed",Home Affairs,Home Affairs,4742,MINHA,Medium,35
"medical emergency, no doctor or ambulance available, elderly patient in danger, please help immediately",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,56
income tax refund pending for 5 months despite filing i have complained repeatedly and it is still unresolved,Income Tax,Income Tax,4414,CBODT,Medium,34
"large potholes on the highway causing accidents, unsafe for months",Road Transport and Highways,Road Transport and Highways,616,MORTH,Low,21
"harassment at workplace, no action taken despite complaints my elderly parent is suffering",Labour and Employment,Labour and Employment,2173,MOLBR,High,53
request for status update on my pension revision application,Pension,Pension,6281,DEAPR,Low,7
wrongly charged extra amount on my mobile bill this month my elderly parent is suffering,Telecommunications,Telecommunications,1,DOTEL,Low,24
"harassment at workplace, no action taken despite complaints there is a medical emergency",Labour and Employment,Labour and Employment,2173,MOLBR,High,51
"father is a disabled senior citizen, pension denied for 10 months, no food, please help immediately",Pension,Pension,6281,DEAPR,Critical,71
"medicines out of stock at government hospital, patient suffering i have complained repeatedly and it is still unresolved",Health and Family Welfare,Health and Family Welfare,656,DHLTH,Medium,42
"reserved seat given to someone else, harassment by staff my elderly parent is suffering",Railway,Railway,2565,MORLY,High,50
"toll charged despite pass, request refund senior citizen with no other support",Road Transport and Highways,Road Transport and Highways,616,MORTH,Low,19
"repeatedly following up on refund, no action taken situation is unsafe and dangerous",Income Tax,Income Tax,4414,CBODT,Medium,34
request for information about train schedule changes please help immediately,Railway,Railway,2565,MORLY,Low,10
request for information about child care schemes senior citizen with no other support,Women and Child Development,Women and Child Development,5410,DOWCD,Medium,25
broadband speed is far lower than the plan i am paying for my elderly parent is suffering,Telecommunications,Telecommunications,1,DOTEL,Medium,29
my monthly income scheme interest not credited since 2 months please help immediately,Posts,Posts,61,DPOST,Medium,28
scholarship amount not received by my child for 10 months situation is unsafe and dangerous,School Education,School Education,398,DOSEL,High,68
broadband speed is far lower than the plan i am paying for this is urgent,Telecommunications,Telecommunications,1,DOTEL,Low,16
rural road construction incomplete for 7 months,Rural Development,Rural Development,4976,DORLD,Low,15
my landline has been dead for 6 days and no technician has come this is urgent,Telecommunications,Telecommunications,1,DOTEL,Low,21
mgnrega wages not paid for 8 months to labourers in our village,Rural Development,Rural Development,4976,DORLD,Low,20
"family pension denied after my husband's death, i am a widow this is urgent",Pension,Pension,6281,DEAPR,High,53
"medicines out of stock at government hospital, patient suffering no response despite repeated complaints",Health and Family Welfare,Health and Family Welfare,656,DHLTH,Medium,37
"hospital demanded bribe for admitting my child, this is corruption",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,61
request for information about property tax payment there is a medical emergency,Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Low,19
"overcharged above mrp, shopkeeper cheated me there is a medical emergency",Consumer Affairs,Consumer Affairs,5409,DOCAF,Medium,36
"illegal construction next door, complained repeatedly no action",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Medium,31
"money order not delivered to my elderly mother, she is waiting i have complained repeatedly and it is still unresolved",Posts,Posts,61,DPOST,Medium,39
"street lights not working on the highway, danger at night senior citizen with no other support",Road Transport and Highways,Road Transport and Highways,616,MORTH,Medium,34
"family pension denied after my husband's death, i am a widow this is urgent",Pension,Pension,6281,DEAPR,High,53
"child harassment reported at centre, immediate action needed",Women and Child Development,Women and Child Development,5410,DOWCD,High,45
my monthly income scheme interest not credited since 10 months my elderly parent is suffering,Posts,Posts,61,DPOST,Medium,31
mgnrega wages not paid for 8 months to labourers in our village senior citizen with no other support,Rural Development,Rural Development,4976,DORLD,Medium,32
"amount debited from my account but transaction failed, 9 months no refund senior citizen with no other support",Banking,Banking,251,DEABD,Medium,40
"money order not delivered to my elderly mother, she is waiting",Posts,Posts,61,DPOST,Low,24
"fraud drained my entire account, money stolen, elderly and no savings left, urgent help needed immediately",Banking,Banking,251,DEABD,High,68
tds credit not reflecting in my account this is urgent,Income Tax,Income Tax,4414,CBODT,Low,16
"school building unsafe, roof leaking, children at risk",School Education,School Education,398,DOSEL,Medium,35
"medical emergency, no doctor or ambulance available, elderly patient in danger, please help immediately",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,56
"illegal construction next door, complained repeatedly no action situation is unsafe and dangerous",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,High,48
"domestic violence case, need urgent help, unsafe at home this is urgent",Women and Child Development,Women and Child Development,5410,DOWCD,Low,24
"pregnant woman denied urgent maternity care, life in danger, no response",Women and Child Development,Women and Child Development,5410,DOWCD,High,68
my landline has been dead for 17 days and no technician has come situation is unsafe and dangerous,Telecommunications,Telecommunications,1,DOTEL,Medium,29
income tax refund pending for 6 months despite filing there is a medical emergency,Income Tax,Income Tax,4414,CBODT,Medium,39
"street lights not working on the highway, danger at night this is urgent",Road Transport and Highways,Road Transport and Highways,616,MORTH,Medium,25
"my provident fund withdrawal pending for 6 months, need it urgently",Labour and Employment,Labour and Employment,2173,MOLBR,Medium,32
"medical emergency, no doctor or ambulance available, elderly patient in danger, please help immediately",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,56
"threat to my family safety, unsafe situation, no police response despite repeated calls, urgent",Home Affairs,Home Affairs,4742,MINHA,High,53
"money order not delivered to my elderly mother, she is waiting situation is unsafe and dangerous",Posts,Posts,61,DPOST,Medium,41
"employer not paying wages for 4 months, family suffering senior citizen with no other support",Labour and Employment,Labour and Employment,2173,MOLBR,Medium,40
"purchased defective product, seller refusing refund for 8 months this is urgent",Consumer Affairs,Consumer Affairs,5409,DOCAF,Medium,26
"overcharged above mrp, shopkeeper cheated me",Consumer Affairs,Consumer Affairs,5409,DOCAF,Low,22
"no water supply in our locality for 6 days, children falling sick this is urgent",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Medium,37
"driving licence renewal pending for 2 months, no response situation is unsafe and dangerous",Road Transport and Highways,Road Transport and Highways,616,MORTH,Medium,43
requesting information about porting my number to another operator i have complained repeatedly and it is still unresolved,Telecommunications,Telecommunications,1,DOTEL,Low,14
"father is a disabled senior citizen, pension denied for 10 months, no food, please help immediately",Pension,Pension,6281,DEAPR,Critical,71
tds credit not reflecting in my account please help immediately,Income Tax,Income Tax,4414,CBODT,Low,16
"medical emergency, no doctor or ambulance available, elderly patient in danger, please help immediately",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,56
"driving licence renewal pending for 1 months, no response",Road Transport and Highways,Road Transport and Highways,616,MORTH,Medium,26
request for information about the vaccination schedule my elderly parent is suffering,Health and Family Welfare,Health and Family Welfare,656,DHLTH,Low,23
wrongly charged extra amount on my mobile bill this month please help immediately,Telecommunications,Telecommunications,1,DOTEL,Low,16
"pregnant woman denied urgent maternity care, life in danger, no response",Women and Child Development,Women and Child Development,5410,DOWCD,High,68
passport verification pending with police for 6 months,Home Affairs,Home Affairs,4742,MINHA,Medium,27
"ppo number not updated, pension pending, repeatedly following up",Pension,Pension,6281,DEAPR,Low,12
"overcharged above mrp, shopkeeper cheated me situation is unsafe and dangerous",Consumer Affairs,Consumer Affairs,5409,DOCAF,Medium,34
request for information about property tax payment i have complained repeatedly and it is still unresolved,Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Low,17
request for information about train schedule changes i have complained repeatedly and it is still unresolved,Railway,Railway,2565,MORLY,Low,17
"school building unsafe, roof leaking, children at risk",School Education,School Education,398,DOSEL,Medium,40
request for information about train schedule changes please help immediately,Railway,Railway,2565,MORLY,Low,10
request to update my kyc details in the account there is a medical emergency,Banking,Banking,251,DEABD,Low,24
request for information about filing revised return,Income Tax,Income Tax,4414,CBODT,Low,2
"job card application pending, repeatedly visiting the office my elderly parent is suffering",Rural Development,Rural Development,4976,DORLD,Medium,39
"my elderly widowed mother's pension stopped for 8 months, senior citizen with no income, medical bills unpaid, urgent",Pension,Pension,6281,DEAPR,Critical,75
"illegal construction next door, complained repeatedly no action there is a medical emergency",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Medium,43
"school building unsafe, roof leaking, children at risk situation is unsafe and dangerous",School Education,School Education,398,DOSEL,Medium,41
"fir not registered despite repeated visits, harassment situation is unsafe and dangerous",Home Affairs,Home Affairs,4742,MINHA,High,49
"my provident fund withdrawal pending for 3 months, need it urgently",Labour and Employment,Labour and Employment,2173,MOLBR,Medium,30
"threat to my family, urgent protection needed no response despite repeated complaints",Home Affairs,Home Affairs,4742,MINHA,High,47
broadband speed is far lower than the plan i am paying for i have complained repeatedly and it is still unresolved,Telecommunications,Telecommunications,1,DOTEL,Medium,28
"my father's pension has been stopped since 7 months, he is a senior citizen senior citizen with no other support",Pension,Pension,6281,DEAPR,High,49
anganwadi not providing nutrition to children for 10 days,Women and Child Development,Women and Child Development,5410,DOWCD,Medium,36
"workplace accident, unsafe conditions caused injury, worker in danger, employer ignoring repeatedly, urgent",Labour and Employment,Labour and Employment,2173,MOLBR,High,46
wrongly charged extra amount on my mobile bill this month no response despite repeated complaints,Telecommunications,Telecommunications,1,DOTEL,Low,23
"threat to my family, urgent protection needed there is a medical emergency",Home Affairs,Home Affairs,4742,MINHA,High,50
"ppo number not updated, pension pending, repeatedly following up there is a medical emergency",Pension,Pension,6281,DEAPR,Medium,32
"maternity benefit not received, pregnant and no support",Women and Child Development,Women and Child Development,5410,DOWCD,High,45
"sewage overflow on the road for 3 days, health hazard",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Low,8
"workplace accident, unsafe conditions caused injury, worker in danger, employer ignoring repeatedly, urgent",Labour and Employment,Labour and Employment,2173,MOLBR,High,46
request for information about filing revised return,Income Tax,Income Tax,4414,CBODT,Low,2
request for information about the vaccination schedule situation is unsafe and dangerous,Health and Family Welfare,Health and Family Welfare,656,DHLTH,Medium,27
scholarship amount not received by my child for 2 months senior citizen with no other support,School Education,School Education,398,DOSEL,High,60
"my provident fund withdrawal pending for 1 months, need it urgently there is a medical emergency",Labour and Employment,Labour and Employment,2173,MOLBR,High,49
"fir not registered despite repeated visits, harassment i have complained repeatedly and it is still unresolved",Home Affairs,Home Affairs,4742,MINHA,High,46
"child harassment emergency at the centre, unsafe, immediate action needed, complained repeatedly",Women and Child Development,Women and Child Development,5410,DOWCD,High,68
"illegal construction next door, complained repeatedly no action no response despite repeated complaints",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Medium,36
scholarship amount not received by my child for 3 months this is urgent,School Education,School Education,398,DOSEL,High,56
request for update on my esi claim this is urgent,Labour and Employment,Labour and Employment,2173,MOLBR,Low,18
request for information about filing a consumer complaint i have complained repeatedly and it is still unresolved,Consumer Affairs,Consumer Affairs,5409,DOCAF,Low,17
income tax refund pending for 5 months despite filing situation is unsafe and dangerous,Income Tax,Income Tax,4414,CBODT,Medium,36
"safety concern in my locality, no police response, danger",Home Affairs,Home Affairs,4742,MINHA,Medium,29
request for information about train schedule changes,Railway,Railway,2565,MORLY,Low,2
"father is a disabled senior citizen, pension denied for 10 months, no food, please help immediately",Pension,Pension,6281,DEAPR,Critical,71
request for status update on my pension revision application senior citizen with no other support,Pension,Pension,6281,DEAPR,Low,22
"safety concern in my locality, no police response, danger my elderly parent is suffering",Home Affairs,Home Affairs,4742,MINHA,High,48
"domestic violence emergency, my life is in danger, immediate protection needed",Home Affairs,Home Affairs,4742,MINHA,Medium,35
"wrong tax demand raised, no response to my grievance this is urgent",Income Tax,Income Tax,4414,CBODT,Medium,28
wrongly charged extra amount on my mobile bill this month this is urgent,Telecommunications,Telecommunications,1,DOTEL,Low,19
"job card application pending, repeatedly visiting the office",Rural Development,Rural Development,4976,DORLD,Low,18
request for information about filing revised return,Income Tax,Income Tax,4414,CBODT,Low,2
"hospital demanded bribe for admitting my child, this is corruption senior citizen with no other support",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,63
"hospital demanded bribe for admitting my child, this is corruption please help immediately",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,60
"speed post delivery delayed by 20 days, urgent documents inside i have complained repeatedly and it is still unresolved",Posts,Posts,61,DPOST,Medium,36
broadband speed is far lower than the plan i am paying for this is urgent,Telecommunications,Telecommunications,1,DOTEL,Low,24
"sewage overflow on the road for 14 days, health hazard i have complained repeatedly and it is still unresolved",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Medium,32
request for information about child care schemes no response despite repeated complaints,Women and Child Development,Women and Child Development,5410,DOWCD,Medium,25
mgnrega wages not paid for 5 months to labourers in our village,Rural Development,Rural Development,4976,DORLD,Low,15
"sewage overflow on the road for 14 days, health hazard my elderly parent is suffering",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Medium,36
"fraud drained my entire account, money stolen, elderly and no savings left, urgent help needed immediately",Banking,Banking,251,DEABD,High,68
broadband speed is far lower than the plan i am paying for,Telecommunications,Telecommunications,1,DOTEL,Low,8
request to update my kyc details in the account no response despite repeated complaints,Banking,Banking,251,DEABD,Low,9
"teacher shortage in the school, no classes happening there is a medical emergency",School Education,School Education,398,DOSEL,Medium,30
mgnrega wages not paid for 7 months to labourers in our village,Rural Development,Rural Development,4976,DORLD,Low,15
"pregnant woman denied urgent maternity care, life in danger, no response",Women and Child Development,Women and Child Development,5410,DOWCD,High,68
"hospital demanded bribe to admit my critically ill child, this is corruption and unsafe",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,68
passport verification pending with police for 9 months senior citizen with no other support,Home Affairs,Home Affairs,4742,MINHA,Medium,41
"purchased defective product, seller refusing refund for 7 months",Consumer Affairs,Consumer Affairs,5409,DOCAF,Low,15
request for information about filing revised return,Income Tax,Income Tax,4414,CBODT,Low,5
"water scheme funds misused, corruption suspected",Rural Development,Rural Development,4976,DORLD,Medium,35
my landline has been dead for 14 days and no technician has come my elderly parent is suffering,Telecommunications,Telecommunications,1,DOTEL,Medium,28
request for information about the vaccination schedule,Health and Family Welfare,Health and Family Welfare,656,DHLTH,Low,2
request for information about filing a consumer complaint i have complained repeatedly and it is still unresolved,Consumer Affairs,Consumer Affairs,5409,DOCAF,Low,17
"no doctor available at the primary health centre for 7 days, medical emergency senior citizen with no other support",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,49
"overcharged above mrp, shopkeeper cheated me",Consumer Affairs,Consumer Affairs,5409,DOCAF,Low,14
"father is a disabled senior citizen, pension denied for 10 months, no food, please help immediately",Pension,Pension,6281,DEAPR,Critical,71
"fir not registered despite repeated visits, harassment senior citizen with no other support",Home Affairs,Home Affairs,4742,MINHA,High,46
"large potholes on the highway causing accidents, unsafe for months",Road Transport and Highways,Road Transport and Highways,616,MORTH,Low,21
request for status update on my pension revision application please help immediately,Pension,Pension,6281,DEAPR,Low,18
request for information about filing a consumer complaint there is a medical emergency,Consumer Affairs,Consumer Affairs,5409,DOCAF,Low,19
"workplace accident, unsafe conditions caused injury, worker in danger, employer ignoring repeatedly, urgent",Labour and Employment,Labour and Employment,2173,MOLBR,High,46
"child harassment reported at centre, immediate action needed this is urgent",Women and Child Development,Women and Child Development,5410,DOWCD,High,53
"no water in the coach during long journey, elderly passengers suffering",Railway,Railway,2565,MORLY,Medium,32
"pregnant woman denied urgent maternity care, life in danger, no response",Women and Child Development,Women and Child Development,5410,DOWCD,High,68
"teacher shortage in the school, no classes happening please help immediately",School Education,School Education,398,DOSEL,Low,16
"hospital demanded bribe for admitting my child, this is corruption my elderly parent is suffering",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,60
no network coverage in my area for 12 days despite repeated complaints,Telecommunications,Telecommunications,1,DOTEL,Low,17
request for information about train schedule changes senior citizen with no other support,Railway,Railway,2565,MORLY,Low,19
request to update my kyc details in the account please help immediately,Banking,Banking,251,DEABD,Low,10
passport verification pending with police for 3 months,Home Affairs,Home Affairs,4742,MINHA,Low,19
"hospital demanded bribe to admit my critically ill child, this is corruption and unsafe",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,68
request for information about train schedule changes,Railway,Railway,2565,MORLY,Low,10
"ppo number not updated, pension pending, repeatedly following up there is a medical emergency",Pension,Pension,6281,DEAPR,Medium,32
"call drops happening continuously, unable to make emergency calls this is urgent",Telecommunications,Telecommunications,1,DOTEL,Medium,26
"sewage overflow on the road for 2 days, health hazard",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Low,11
"hospital demanded bribe for admitting my child, this is corruption",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,63
"medical emergency, no doctor or ambulance available, elderly patient in danger, please help immediately",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,56
suggestion to open more counters at the local post office i have complained repeatedly and it is still unresolved,Posts,Posts,61,DPOST,Low,14
"water scheme funds misused, corruption suspected",Rural Development,Rural Development,4976,DORLD,Medium,27
request for status update on my pension revision application,Pension,Pension,6281,DEAPR,Low,5
"sewage overflow on the road for 13 days, health hazard i have complained repeatedly and it is still unresolved",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Medium,32
request for information about child care schemes situation is unsafe and dangerous,Women and Child Development,Women and Child Development,5410,DOWCD,Medium,35
my registered parcel has been stuck in transit for 17 days,Posts,Posts,61,DPOST,Low,20
suggestion to open more counters at the local post office senior citizen with no other support,Posts,Posts,61,DPOST,Low,22
request for information about child care schemes this is urgent,Women and Child Development,Women and Child Development,5410,DOWCD,Medium,26
wrongly charged extra amount on my mobile bill this month please help immediately,Telecommunications,Telecommunications,1,DOTEL,Low,24
wrongly charged extra amount on my mobile bill this month,Telecommunications,Telecommunications,1,DOTEL,Low,11
"speed post delivery delayed by 20 days, urgent documents inside senior citizen with no other support",Posts,Posts,61,DPOST,Medium,41
"repeatedly following up on refund, no action taken please help immediately",Income Tax,Income Tax,4414,CBODT,Medium,30
"my provident fund withdrawal pending for 1 months, need it urgently",Labour and Employment,Labour and Employment,2173,MOLBR,Medium,32
anganwadi not providing nutrition to children for 16 days no response despite repeated complaints,Women and Child Development,Women and Child Development,5410,DOWCD,Medium,35
request for information about train schedule changes,Railway,Railway,2565,MORLY,Low,5
"hospital demanded bribe for admitting my child, this is corruption",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,66
"call drops happening continuously, unable to make emergency calls my elderly parent is suffering",Telecommunications,Telecommunications,1,DOTEL,Medium,34
request for information about filing a consumer complaint please help immediately,Consumer Affairs,Consumer Affairs,5409,DOCAF,Low,10
"street lights not working on the highway, danger at night situation is unsafe and dangerous",Road Transport and Highways,Road Transport and Highways,616,MORTH,Medium,25
"school building unsafe, roof leaking, children at risk please help immediately",School Education,School Education,398,DOSEL,Medium,40
wrongly charged extra amount on my mobile bill this month my elderly parent is suffering,Telecommunications,Telecommunications,1,DOTEL,Low,24
"no oxygen supply at government hospital, patient dying, urgent action needed immediately",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,49
request for transfer certificate pending since 5 months there is a medical emergency,School Education,School Education,398,DOSEL,Medium,33
request for information about filing a consumer complaint please help immediately,Consumer Affairs,Consumer Affairs,5409,DOCAF,Low,10
"false advertisement, product not as described, fraud situation is unsafe and dangerous",Consumer Affairs,Consumer Affairs,5409,DOCAF,High,48
atm did not dispense cash but my account was debited,Banking,Banking,251,DEABD,Low,8
income tax refund pending for 3 months despite filing no response despite repeated complaints,Income Tax,Income Tax,4414,CBODT,Medium,31
passport verification pending with police for 2 months situation is unsafe and dangerous,Home Affairs,Home Affairs,4742,MINHA,Medium,36
"ambulance did not arrive on time, elderly patient in danger my elderly parent is suffering",Health and Family Welfare,Health and Family Welfare,656,DHLTH,Medium,41
request for information about filing revised return,Income Tax,Income Tax,4414,CBODT,Low,7
"no water supply in our locality for 10 days, children falling sick situation is unsafe and dangerous",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,High,53
wrongly charged extra amount on my mobile bill this month no response despite repeated complaints,Telecommunications,Telecommunications,1,DOTEL,Low,15
"water scheme funds misused, corruption suspected",Rural Development,Rural Development,4976,DORLD,Medium,27
broadband speed is far lower than the plan i am paying for i have complained repeatedly and it is still unresolved,Telecommunications,Telecommunications,1,DOTEL,Medium,25
"domestic violence case, need urgent help, unsafe at home my elderly parent is suffering",Women and Child Development,Women and Child Development,5410,DOWCD,Medium,40
"ppo number not updated, pension pending, repeatedly following up",Pension,Pension,6281,DEAPR,Low,12
"maternity benefit not received, pregnant and no support my elderly parent is suffering",Women and Child Development,Women and Child Development,5410,DOWCD,High,48
"fraud transaction on my account, money stolen, please help urgently i have complained repeatedly and it is still unresolved",Banking,Banking,251,DEABD,High,58
"child harassment reported at centre, immediate action needed",Women and Child Development,Women and Child Development,5410,DOWCD,High,45
"purchased defective product, seller refusing refund for 2 months situation is unsafe and dangerous",Consumer Affairs,Consumer Affairs,5409,DOCAF,Medium,35
tds credit not reflecting in my account,Income Tax,Income Tax,4414,CBODT,Low,11
request for update on my esi claim i have complained repeatedly and it is still unresolved,Labour and Employment,Labour and Employment,2173,MOLBR,Low,14
my monthly income scheme interest not credited since 10 months senior citizen with no other support,Posts,Posts,61,DPOST,Medium,32
"ppo number not updated, pension pending, repeatedly following up no response despite repeated complaints",Pension,Pension,6281,DEAPR,Low,19
"pregnant woman denied urgent maternity care, life in danger, no response",Women and Child Development,Women and Child Development,5410,DOWCD,High,68
"school building unsafe, roof leaking, children at risk please help immediately",School Education,School Education,398,DOSEL,Medium,43
anganwadi not providing nutrition to children for 17 days,Women and Child Development,Women and Child Development,5410,DOWCD,Medium,28
"fraud transaction on my account, money stolen, please help urgently senior citizen with no other support",Banking,Banking,251,DEABD,High,59
atm did not dispense cash but my account was debited please help immediately,Banking,Banking,251,DEABD,Low,19
"unsafe conditions at the platform, no security at night this is urgent",Railway,Railway,2565,MORLY,Low,24
"illegal construction next door, complained repeatedly no action i have complained repeatedly and it is still unresolved",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Medium,40
